battery_level, cycles, battery_capacity
0.9263, 5.57533, 9990.9058
0.9573, 5.57533, 9990.9058
0.9688, 5.57533, 9990.9058
0.9763, 5.57533, 9990.9058
0.9938, 5.57533, 9990.9058
0.7255, 5.73633, 9990.8494
0.9753, 5.73633, 9990.8494
0.9916, 5.73633, 9990.8494
0.993, 5.73633, 9990.8494
0.9939, 5.73633, 9990.8494
0.9947, 5.73633, 9990.8494
0.9987, 5.73633, 9990.8494
0.9989, 5.73633, 9990.8494
0.9998, 5.73633, 9990.8494
1.0, 5.73633, 9990.8494
1.0, 5.73633, 9990.8494
0.58, 5.98833, 9990.7612
0.8152, 5.98833, 9990.7612
0.4321, 6.21822, 9990.6808
0.5173, 6.21822, 9990.6808
0.8793, 6.21822, 9990.6808
0.9191, 6.21822, 9990.6808
0.9345, 6.21822, 9990.6808
0.8878, 6.24626, 9990.671
0.9484, 6.24626, 9990.671
0.9892, 6.24626, 9990.671
0.3264, 6.64392, 9990.5318
0.9326, 6.64392, 9990.5318
0.7834, 6.73345, 9990.5004
0.8505, 6.73345, 9990.5004
0.858, 6.73345, 9990.5004
0.8992, 6.73345, 9990.5004
0.9254, 6.73345, 9990.5004
0.9866, 6.73345, 9990.5004
0.9965, 6.73345, 9990.5004
0.4883, 7.03838, 9990.3937
0.5344, 7.03838, 9990.3937
0.1122, 7.29169, 9990.3051
0.0269, 7.34285, 9990.2871
0.0237, 7.34479, 9990.2865
0.0628, 7.34479, 9990.2865
0.0909, 7.34479, 9990.2865
0.0209, 7.38679, 9990.2718
0.4419, 7.38679, 9990.2718
0.9386, 7.38679, 9990.2718
0.9834, 7.38679, 9990.2718
1.0, 7.38679, 9990.2718
1.0, 7.38679, 9990.2718
0.86, 7.47079, 9990.2424
0.9398, 7.47079, 9990.2424
0.9422, 7.47079, 9990.2424
0.9827, 7.47079, 9990.2424
0.6486, 7.67126, 9990.1722
0.5448, 7.73353, 9990.1504
0.7269, 7.73353, 9990.1504
0.899, 7.73353, 9990.1504
0.9889, 7.73353, 9990.1504
0.9979, 7.73353, 9990.1504
0.3692, 8.11074, 9990.0184
0.0628, 8.2946, 9989.954
0.022, 8.31909, 9989.9455
0.0141, 8.32384, 9989.9438
0.0069, 8.32815, 9989.9423
0.0007, 8.33188, 9989.941
0.0, 8.33228, 9989.9408
0.29, 8.33228, 9989.9408
0.0986, 8.44712, 9989.9007
0.0237, 8.49208, 9989.8849
0.0147, 8.49748, 9989.883
0.6847, 8.49748, 9989.883
0.3013, 8.72754, 9989.8025
0.441, 8.72754, 9989.8025
0.2558, 8.83867, 9989.7636
0.197, 8.87397, 9989.7513
0.3897, 8.87397, 9989.7513
0.4751, 8.87397, 9989.7513
0.4418, 8.89392, 9989.7443
0.5981, 8.89392, 9989.7443
0.996, 8.89392, 9989.7443
0.9963, 8.89392, 9989.7443
0.9979, 8.89392, 9989.7443
0.9988, 8.89392, 9989.7443
0.9999, 8.89392, 9989.7443
0.9999, 8.89392, 9989.7443
0.9999, 8.89392, 9989.7443
1.0, 8.89392, 9989.7443
1.0, 8.89392, 9989.7443
1.0, 8.89392, 9989.7443
0.46, 9.21792, 9989.6309
0.207, 9.36972, 9989.5777
0.0766, 9.44797, 9989.5504
0.0452, 9.46681, 9989.5438
0.0312, 9.47522, 9989.5408
0.0893, 9.47522, 9989.5408
0.0402, 9.50469, 9989.5305
0.0201, 9.51675, 9989.5263
0.0072, 9.52447, 9989.5236
0.0866, 9.52447, 9989.5236
0.0468, 9.54837, 9989.5152
0.0309, 9.55792, 9989.5119
0.0294, 9.55885, 9989.5115
0.0109, 9.56996, 9989.5077
0.0071, 9.57225, 9989.5069
0.0036, 9.57434, 9989.5061
0.0022, 9.5752, 9989.5058
0.0019, 9.5754, 9989.5058
0.0006, 9.57621, 9989.5055
0.0005, 9.5763, 9989.5054
0.0003, 9.57642, 9989.5054
0.3102, 9.57642, 9989.5054
0.0031, 9.76068, 9989.4409
0.6112, 9.76068, 9989.4409
0.4034, 9.88536, 9989.3973
0.0323, 10.10804, 9989.3193
0.0239, 10.11308, 9989.3176
0.0127, 10.11982, 9989.3152
0.0084, 10.12241, 9989.3143
0.0072, 10.12312, 9989.3141
0.0041, 10.12498, 9989.3134
0.1336, 10.12498, 9989.3134
0.0775, 10.15865, 9989.3016
0.0085, 10.20004, 9989.2871
0.0034, 10.2031, 9989.2861
0.3721, 10.2031, 9989.2861
0.9812, 10.2031, 9989.2861
0.9951, 10.2031, 9989.2861
0.9959, 10.2031, 9989.2861
0.8067, 10.31663, 9989.2463
0.8492, 10.31663, 9989.2463
0.7218, 10.39306, 9989.2196
0.9833, 10.39306, 9989.2196
0.985, 10.39306, 9989.2196
0.9876, 10.39306, 9989.2196
0.7802, 10.5175, 9989.176
0.6632, 10.58772, 9989.1514
0.6367, 10.60364, 9989.1459
0.9964, 10.60364, 9989.1459
0.9968, 10.60364, 9989.1459
0.8174, 10.71129, 9989.1082
0.5804, 10.85352, 9989.0584
0.2612, 11.04505, 9988.9914
0.505, 11.04505, 9988.9914
0.4495, 11.07838, 9988.9797
0.1124, 11.28066, 9988.9089
0.8757, 11.28066, 9988.9089
0.8794, 11.28066, 9988.9089
0.9759, 11.28066, 9988.9089
0.9867, 11.28066, 9988.9089
0.9876, 11.28066, 9988.9089
0.9921, 11.28066, 9988.9089
0.8532, 11.364, 9988.8797
0.9325, 11.364, 9988.8797
0.5875, 11.57102, 9988.8073
0.2468, 11.77547, 9988.7357
0.1061, 11.85988, 9988.7062
0.035, 11.90253, 9988.6913
0.0329, 11.90379, 9988.6908
0.0329, 11.90379, 9988.6908
0.0243, 11.90892, 9988.689
0.0068, 11.91942, 9988.6853
0.6623, 11.91942, 9988.6853
0.8886, 11.91942, 9988.6853
0.9075, 11.91942, 9988.6853
0.938, 11.91942, 9988.6853
0.9192, 11.93068, 9988.6814
0.9636, 11.93068, 9988.6814
0.5493, 12.17929, 9988.5944
0.6124, 12.17929, 9988.5944
0.8837, 12.17929, 9988.5944
0.7158, 12.28003, 9988.5591
0.8352, 12.28003, 9988.5591
0.9308, 12.28003, 9988.5591
0.9827, 12.28003, 9988.5591
0.4029, 12.62791, 9988.4374
0.8507, 12.62791, 9988.4374
0.9373, 12.62791, 9988.4374
0.9743, 12.62791, 9988.4374
0.9825, 12.62791, 9988.4374
0.9911, 12.62791, 9988.4374
0.9939, 12.62791, 9988.4374
0.7653, 12.76507, 9988.3894
0.8474, 12.76507, 9988.3894
0.8733, 12.76507, 9988.3894
0.7947, 12.81223, 9988.3729
0.1589, 13.19369, 9988.2394
0.1573, 13.19464, 9988.239
0.6376, 13.19464, 9988.239
0.9819, 13.19464, 9988.239
0.9993, 13.19464, 9988.239
0.9999, 13.19464, 9988.239
1.0, 13.19464, 9988.239
1.0, 13.19464, 9988.239
0.91, 13.24864, 9988.2201
0.9865, 13.24864, 9988.2201
0.9879, 13.24864, 9988.2201
0.9936, 13.24864, 9988.2201
0.9964, 13.24864, 9988.2201
0.9988, 13.24864, 9988.2201
0.999, 13.24864, 9988.2201
0.9991, 13.24864, 9988.2201
0.9998, 13.24864, 9988.2201
0.8698, 13.32662, 9988.1928
0.7306, 13.41012, 9988.1636
0.8141, 13.41012, 9988.1636
0.8308, 13.41012, 9988.1636
0.8059, 13.42507, 9988.1584
0.6689, 13.50727, 9988.1296
0.2676, 13.74807, 9988.0453
0.0268, 13.89257, 9987.9947
0.1436, 13.89257, 9987.9947
0.1149, 13.9098, 9987.9887
0.0471, 13.95047, 9987.9745
0.0193, 13.96714, 9987.9686
0.0075, 13.9742, 9987.9662
0.0064, 13.97487, 9987.9659
0.9404, 13.97487, 9987.9659
0.9553, 13.97487, 9987.9659
0.9656, 13.97487, 9987.9659
0.9828, 13.97487, 9987.9659
0.9883, 13.97487, 9987.9659
0.9974, 13.97487, 9987.9659
0.9974, 13.97487, 9987.9659
0.9996, 13.97487, 9987.9659
1.0, 13.97487, 9987.9659
1.0, 13.97487, 9987.9659
1.0, 13.97487, 9987.9659
0.45, 14.30487, 9987.8504
0.4365, 14.31297, 9987.8476
0.3798, 14.34702, 9987.8357
0.1177, 14.50426, 9987.7807
0.0118, 14.56782, 9987.7584
0.0068, 14.57079, 9987.7574
0.0048, 14.57197, 9987.757
0.003, 14.57304, 9987.7566
0.0029, 14.57308, 9987.7566
0.0026, 14.57329, 9987.7565
0.0007, 14.57441, 9987.7561
0.0407, 14.57441, 9987.7561
0.024, 14.58442, 9987.7526
0.0226, 14.58528, 9987.7523
0.0133, 14.59084, 9987.7503
0.0029, 14.59706, 9987.7482
0.1226, 14.59706, 9987.7482
0.0588, 14.63531, 9987.7348
0.1623, 14.63531, 9987.7348
0.7738, 14.63531, 9987.7348
0.7738, 14.63531, 9987.7348
0.8665, 14.63531, 9987.7348
0.9973, 14.63531, 9987.7348
0.9983, 14.63531, 9987.7348
0.8785, 14.70719, 9987.7096
0.9004, 14.70719, 9987.7096
0.9701, 14.70719, 9987.7096
0.2522, 15.13791, 9987.5589
0.2522, 15.13791, 9987.5589
0.985, 15.13791, 9987.5589
0.9964, 15.13791, 9987.5589
0.9998, 15.13791, 9987.5589
0.9999, 15.13791, 9987.5589
