data,ora,consumo
20230822,09,185
20230822,10,204
20230822,11,258
20230822,12,311
20230822,13,2120
20230822,14,1787
20230822,15,1751
20230822,16,705
20230822,17,265
20230822,18,314
20230822,19,686
20230822,20,343
20230822,21,1252
20230822,22,1189
20230822,23,523
20230823,00,565
20230823,01,642
20230823,02,268
20230823,03,320
20230823,04,328
20230823,05,250
20230823,06,234
20230823,07,224
20230823,08,234
20230823,09,217
20230823,10,234
20230823,11,252
20230823,12,273
20230823,13,1638
20230823,14,2111
20230823,15,1098
20230823,16,700
20230823,17,594
20230823,18,1031
20230823,19,259
20230823,20,298
20230823,21,1348
20230823,22,1561
20230823,23,1348
20230824,00,1031
20230824,01,290
20230824,02,289
20230824,03,314
20230824,04,228
20230824,05,204
20230824,06,249
20230824,07,363
20230824,08,196
20230824,09,182
20230824,10,223
20230824,11,253
20230824,12,263
20230824,13,1203
20230824,14,2146
20230824,15,1772
20230824,16,724
20230824,17,706
20230824,18,716
20230824,19,790
20230824,20,663
20230824,21,864
20230824,22,1214
20230824,23,760
20230825,00,223
20230825,01,235
20230825,02,224
20230825,03,269
20230825,04,250
20230825,05,278
20230825,06,484
20230825,07,210
20230825,08,229
20230825,09,214
20230825,10,199
20230825,11,196
20230825,12,238
20230825,13,589
20230825,14,1845
20230825,15,1545
20230825,16,2056
20230825,17,1269
20230825,18,596
20230825,19,237
20230825,20,491
20230825,21,1532
20230825,22,1203
20230825,23,766
20230826,00,564
20230826,01,364
20230826,02,321
20230826,03,215
20230826,04,218
20230826,05,219
20230826,06,254
20230826,07,225
20230826,08,217
20230826,09,209
20230826,10,233
20230826,11,310
20230826,12,1355
20230826,13,2485
20230826,14,1673
20230826,15,1330
20230826,16,695
20230826,17,1340
20230826,18,560
20230826,19,868
20230826,20,413
20230826,21,2652
20230826,22,1507
20230826,23,1164
20230827,00,425
20230827,01,351
20230827,02,345
20230827,03,308
20230827,04,223
20230827,05,185
20230827,06,583
20230827,07,786
20230827,08,670
20230827,09,664
20230827,10,1253
20230827,11,900
20230827,12,1255
20230827,13,1739
20230827,14,838
20230827,15,597
20230827,16,807
20230827,17,808
20230827,18,595
20230827,19,410
20230827,20,613
20230827,21,682
20230827,22,1147
20230827,23,1247
20230828,00,539
20230828,01,541
20230828,02,231
20230828,03,210
20230828,04,197
20230828,05,207
20230828,06,971
20230828,07,309
20230828,08,301
20230828,09,262
20230828,10,215
20230828,11,217
20230828,12,272
20230828,13,262
20230828,14,375
20230828,15,351
20230828,16,376
20230828,17,384
20230828,18,400
20230828,19,306
20230828,20,519
20230828,21,1094
20230828,22,460
20230828,23,754
20230829,00,609
20230829,01,190
20230829,02,180
20230829,03,193
20230829,04,279
20230829,05,215
20230829,06,205
20230829,07,224
20230829,08,462
20230829,09,1225
20230829,10,951
20230829,11,1630
20230829,12,1673
20230829,13,1507
20230829,14,763
20230829,15,725
20230829,16,538
20230829,17,322
20230829,18,337
20230829,19,332
20230829,20,497
20230829,21,577
20230829,22,381
20230829,23,229
20230830,00,205
20230830,01,192
20230830,02,202
20230830,03,203
20230830,04,163
20230830,05,186
20230830,06,887
20230830,07,276
20230830,08,189
20230830,09,243
20230830,10,212
20230830,11,185
20230830,12,215
20230830,13,767
20230830,14,445
20230830,15,912
20230830,16,661
20230830,17,461
20230830,18,416
20230830,19,823
20230830,20,283
20230830,21,791
20230830,22,860
20230830,23,658
20230831,00,222
20230831,01,190
20230831,02,206
20230831,03,188
20230831,04,185
20230831,05,176
20230831,06,210
20230831,07,279
20230831,08,181
20230831,09,162
20230831,10,205
20230831,11,167
20230831,12,207
20230831,13,1141
20230831,14,616
20230831,15,246
20230831,16,219
20230831,17,205
20230831,18,197
20230831,19,368
20230831,20,395
20230831,21,770
20230831,22,1027
20230831,23,788
20230901,00,237
20230901,01,197
20230901,02,194
20230901,03,188
20230901,04,199
20230901,05,172
20230901,06,223
20230901,07,179
20230901,08,188
20230901,09,176
20230901,10,196
20230901,11,201
20230901,12,191
20230901,13,808
20230901,14,921
20230901,15,1000
20230901,16,646
20230901,17,276
20230901,18,224
20230901,19,195
20230901,20,333
20230901,21,531
20230901,22,315
20230901,23,221
20230902,00,207
20230902,01,222
20230902,02,189
20230902,03,184
20230902,04,169
20230902,05,177
20230902,06,209
20230902,07,242
20230902,08,237
20230902,09,175
20230902,10,188
20230902,11,197
20230902,12,217
20230902,13,928
20230902,14,582
20230902,15,383
20230902,16,692
20230902,17,713
20230902,18,214
20230902,19,334
20230902,20,277
20230902,21,857
20230902,22,511
20230902,23,586
20230903,00,355
20230903,01,205
20230903,02,260
20230903,03,193
20230903,04,186
20230903,05,173
20230903,06,217
20230903,07,302
20230903,08,1314
20230903,09,1069
20230903,10,1887
20230903,11,1670
20230903,12,1125
20230903,13,1435
20230903,14,598
20230903,15,1080
20230903,16,372
20230903,17,1406
20230903,18,232
20230903,19,194
20230903,20,246
20230903,21,637
20230903,22,615
20230903,23,425
20230904,00,345
20230904,01,273
20230904,02,207
20230904,03,208
20230904,04,187
20230904,05,191
20230904,06,201
20230904,07,506
20230904,08,203
20230904,09,178
20230904,10,174
20230904,11,192
20230904,12,210
20230904,13,942
20230904,14,503
20230904,15,486
20230904,16,955
20230904,17,299
20230904,18,375
20230904,19,269
20230904,20,254
20230904,21,367
20230904,22,341
20230904,23,645
20230905,00,289
20230905,01,226
20230905,02,197
20230905,03,194
20230905,04,201
20230905,05,183
20230905,06,217
20230905,07,199
20230905,08,216
20230905,09,175
20230905,10,260
20230905,11,189
20230905,12,185
20230905,13,477
20230905,14,298
20230905,15,801
20230905,16,580
20230905,17,197
20230905,18,211
20230905,19,217
20230905,20,253
20230905,21,391
20230905,22,376
20230905,23,256
20230906,00,211
20230906,01,186
20230906,02,194
20230906,03,182
20230906,04,189
20230906,05,199
20230906,06,204
20230906,07,531
20230906,08,300
20230906,09,278
20230906,10,180
20230906,11,182
20230906,12,203
20230906,13,897
20230906,14,370
20230906,15,1273
20230906,16,529
20230906,17,483
20230906,18,426
20230906,19,387
20230906,20,327
20230906,21,919
20230906,22,669
20230906,23,515
20230907,00,339
20230907,01,213
20230907,02,241
20230907,03,257
20230907,04,214
20230907,05,194
20230907,06,217
20230907,07,875
20230907,08,629
20230907,09,191
20230907,10,184
20230907,11,197
20230907,12,235
20230907,13,201
20230907,14,1178
20230907,15,375
20230907,16,1057
20230907,17,203
20230907,18,248
20230907,19,411
20230907,20,542
20230907,21,450
20230907,22,330
20230907,23,195
20230908,00,202
20230908,01,198
20230908,02,205
20230908,03,176
20230908,04,192
20230908,05,180
20230908,06,211
20230908,07,236
20230908,08,205
20230908,09,273
20230908,10,193
20230908,11,200
20230908,12,234
20230908,13,762
20230908,14,551
20230908,15,589
20230908,16,510
20230908,17,414
20230908,18,413
20230908,19,403
20230908,20,343
20230908,21,389
20230908,22,564
20230908,23,402
20230909,00,235
20230909,01,213
20230909,02,188
20230909,03,192
20230909,04,205
20230909,05,189
20230909,06,202
20230909,07,489
20230909,08,242
20230909,09,210
20230909,10,1742
20230909,11,1355
20230909,12,1307
20230909,13,1874
20230909,14,1159
20230909,15,1301
20230909,16,1125
20230909,17,515
20230909,18,925
20230909,19,807
20230909,20,631
20230909,21,798
20230909,22,610
20230909,23,1007
20230910,00,310
20230910,01,287
20230910,02,260
20230910,03,215
20230910,04,196
20230910,05,189
20230910,06,252
20230910,07,339
20230910,08,1030
20230910,09,1482
20230910,10,862
20230910,11,2098
20230910,12,903
20230910,13,923
20230910,14,1128
20230910,15,1233
20230910,16,974
20230910,17,792
20230910,18,333
20230910,19,528
20230910,20,708
20230910,21,548
20230910,22,471
20230910,23,281
20230911,00,220
20230911,01,185
20230911,02,198
20230911,03,194
20230911,04,182
20230911,05,182
20230911,06,591
20230911,07,181
20230911,08,202
20230911,09,181
20230911,10,189
20230911,11,181
20230911,12,197
20230911,13,797
20230911,14,468
20230911,15,500
20230911,16,421
20230911,17,972
20230911,18,686
20230911,19,251
20230911,20,323
20230911,21,1147
20230911,22,789
20230911,23,522
20230912,00,367
20230912,01,281
20230912,02,194
20230912,03,197
20230912,04,183
20230912,05,171
20230912,06,270
20230912,07,380
20230912,08,804
20230912,09,476
20230912,10,819
20230912,11,1350
20230912,12,1168
20230912,13,1617
20230912,14,1433
20230912,15,1125
20230912,16,1198
20230912,17,641
20230912,18,363
20230912,19,420
20230912,20,558
20230912,21,530
20230912,22,1203
20230912,23,240
20230913,00,220
20230913,01,199
20230913,02,188
20230913,03,209
20230913,04,174
20230913,05,183
20230913,06,393
20230913,07,223
20230913,08,207
20230913,09,169
20230913,10,184
20230913,11,195
20230913,12,229
20230913,13,1250
20230913,14,493
20230913,15,299
20230913,16,230
20230913,17,720
20230913,18,574
20230913,19,639
20230913,20,613
20230913,21,1567
20230913,22,391
20230913,23,262
20230914,00,213
20230914,01,232
20230914,02,220
20230914,03,235
20230914,04,188
20230914,05,201
20230914,06,199
20230914,07,290
20230914,08,203
20230914,09,177
20230914,10,214
20230914,11,199
20230914,12,251
20230914,13,196
20230914,14,605
20230914,15,412
20230914,16,266
20230914,17,202
20230914,18,278
20230914,19,318
20230914,20,573
20230914,21,477
20230914,22,808
20230914,23,620
20230915,00,227
20230915,01,205
20230915,02,213
20230915,03,208
20230915,04,186
20230915,05,185
20230915,06,197
20230915,07,371
20230915,08,230
20230915,09,175
20230915,10,207
20230915,11,197
20230915,12,229
20230915,13,1583
20230915,14,540
20230915,15,833
20230915,16,647
20230915,17,277
20230915,18,264
20230915,19,262
20230915,20,258
20230915,21,305
20230915,22,532
20230915,23,522
20230916,00,480
20230916,01,372
20230916,02,202
20230916,03,191
20230916,04,179
20230916,05,187
20230916,06,212
20230916,07,175
20230916,08,202
20230916,09,201
20230916,10,215
20230916,11,834
20230916,12,875
20230916,13,469
20230916,14,874
20230916,15,721
20230916,16,365
20230916,17,216
20230916,18,230
20230916,19,190
20230916,20,234
20230916,21,571
20230916,22,878
20230916,23,658
20230917,00,227
20230917,01,212
20230917,02,213
20230917,03,203
20230917,04,206
20230917,05,181
20230917,06,514
20230917,07,620
20230917,08,532
20230917,09,485
20230917,10,479
20230917,11,465
20230917,12,838
20230917,13,1206
20230917,14,919
20230917,15,1058
20230917,16,1378
20230917,17,728
20230917,18,291
20230917,19,284
20230917,20,349
20230917,21,564
20230917,22,548
20230917,23,486
20230918,00,351
20230918,01,192
20230918,02,180
20230918,03,173
20230918,04,171
20230918,05,194
20230918,06,535
20230918,07,321
20230918,08,306
20230918,09,298
20230918,10,265
20230918,11,294
20230918,12,295
20230918,13,394
20230918,14,401
20230918,15,294
20230918,16,255
20230918,17,275
20230918,18,379
20230918,19,323
20230918,20,809
20230918,21,547
20230918,22,527
20230918,23,492
20230919,00,394
20230919,01,630
20230919,02,637
20230919,03,199
20230919,04,172
20230919,05,185
20230919,06,191
20230919,07,175
20230919,08,201
20230919,09,495
20230919,10,684
20230919,11,1800
20230919,12,1269
20230919,13,988
20230919,14,620
20230919,15,891
20230919,16,692
20230919,17,365
20230919,18,490
20230919,19,424
20230919,20,489
20230919,21,574
20230919,22,527
20230919,23,513
20230920,00,323
20230920,01,238
20230920,02,186
20230920,03,187
20230920,04,165
20230920,05,170
20230920,06,186
20230920,07,834
20230920,08,294
20230920,09,211
20230920,10,327
20230920,11,290
20230920,12,192
20230920,13,717
20230920,14,437
20230920,15,799
20230920,16,703
20230920,17,240
20230920,18,668
20230920,19,874
20230920,20,455
20230920,21,358
20230920,22,304
20230920,23,189
20230921,00,183
20230921,01,165
20230921,02,201
20230921,03,172
20230921,04,172
20230921,05,177
20230921,06,178
20230921,07,205
20230921,08,209
20230921,09,179
20230921,10,164
20230921,11,329
20230921,12,312
20230921,13,1032
20230921,14,435
20230921,15,1141
20230921,16,447
20230921,17,421
20230921,18,290
20230921,19,419
20230921,20,530
20230921,21,512
20230921,22,1105
20230921,23,444
20230922,00,313
20230922,01,262
20230922,02,205
20230922,03,205
20230922,04,200
20230922,05,197
20230922,06,276
20230922,07,560
20230922,08,363
20230922,09,266
20230922,10,264
20230922,11,250
20230922,12,346
20230922,13,629
20230922,14,711
20230922,15,1037
20230922,16,1295
20230922,17,559
20230922,18,326
20230922,19,304
20230922,20,302
20230922,21,425
20230922,22,419
20230922,23,465
20230923,00,332
20230923,01,222
20230923,02,213
20230923,03,192
20230923,04,188
20230923,05,190
20230923,06,246
20230923,07,298
20230923,08,219
20230923,09,191
20230923,10,209
20230923,11,357
20230923,12,399
20230923,13,338
20230923,14,657
20230923,15,772
20230923,16,587
20230923,17,796
20230923,18,969
20230923,19,277
20230923,20,291
20230923,21,499
20230923,22,532
20230923,23,518
20230924,00,420
20230924,01,249
20230924,02,196
20230924,03,198
20230924,04,183
20230924,05,189
20230924,06,214
20230924,07,250
20230924,08,280
20230924,09,894
20230924,10,1492
20230924,11,1748
20230924,12,1454
20230924,13,1109
20230924,14,564
20230924,15,1199
20230924,16,1004
20230924,17,1040
20230924,18,299
20230924,19,256
20230924,20,343
20230924,21,910
20230924,22,561
20230924,23,609
20230925,00,297
20230925,01,246
20230925,02,207
20230925,03,176
20230925,04,191
20230925,05,179
20230925,06,207
20230925,07,255
20230925,08,290
20230925,09,241
20230925,10,193
20230925,11,195
20230925,12,217
20230925,13,379
20230925,14,332
20230925,15,1301
20230925,16,326
20230925,17,294
20230925,18,295
20230925,19,367
20230925,20,554
20230925,21,794
20230925,22,475
20230925,23,368
20230926,00,255
20230926,01,205
20230926,02,185
20230926,03,174
20230926,04,175
20230926,05,174
20230926,06,197
20230926,07,397
20230926,08,514
20230926,09,262
20230926,10,215
20230926,11,397
20230926,12,1871
20230926,13,841
20230926,14,488
20230926,15,536
20230926,16,745
20230926,17,680
20230926,18,224
20230926,19,253
20230926,20,278
20230926,21,669
20230926,22,540
20230926,23,348
20230927,00,266
20230927,01,249
20230927,02,202
20230927,03,180
20230927,04,174
20230927,05,197
20230927,06,197
20230927,07,363
20230927,08,229
20230927,09,197
20230927,10,266
20230927,11,263
20230927,12,255
20230927,13,617
20230927,14,378
20230927,15,1090
20230927,16,287
20230927,17,229
20230927,18,229
20230927,19,232
20230927,20,585
20230927,21,636
20230927,22,415
20230927,23,295
20230928,00,208
20230928,01,650
20230928,02,590
20230928,03,179
20230928,04,183
20230928,05,184
20230928,06,201
20230928,07,423
20230928,08,267
20230928,09,209
20230928,10,258
20230928,11,262
20230928,12,233
20230928,13,262
20230928,14,708
20230928,15,472
20230928,16,1134
20230928,17,285
20230928,18,283
20230928,19,315
20230928,20,921
20230928,21,1517
20230928,22,1263
20230928,23,666
20230929,00,455
20230929,01,237
20230929,02,193
20230929,03,210
20230929,04,179
20230929,05,195
20230929,06,197
20230929,07,234
20230929,08,246
20230929,09,172
20230929,10,201
20230929,11,202
20230929,12,235
20230929,13,1214
20230929,14,411
20230929,15,530
20230929,16,996
20230929,17,309
20230929,18,391
20230929,19,355
20230929,20,331
20230929,21,425
20230929,22,501
20230929,23,352
20230930,00,197
20230930,01,201
20230930,02,174
20230930,03,175
20230930,04,170
20230930,05,192
20230930,06,221
20230930,07,907
20230930,08,339
20230930,09,291
20230930,10,305
20230930,11,335
20230930,12,237
20230930,13,532
20230930,14,280
20230930,15,766
20230930,16,497
20230930,17,761
20230930,18,1508
20230930,19,974
20230930,20,1639
20230930,21,631
20230930,22,890
20230930,23,900
20231001,00,211
20231001,01,208
20231001,02,190
20231001,03,184
20231001,04,175
20231001,05,204
20231001,06,203
20231001,07,229
20231001,08,191
20231001,09,577
20231001,10,2296
20231001,11,1139
20231001,12,504
20231001,13,772
20231001,14,459
20231001,15,937
20231001,16,1179
20231001,17,384
20231001,18,250
20231001,19,262
20231001,20,266
20231001,21,676
20231001,22,450
20231001,23,350
20231002,00,214
20231002,01,189
20231002,02,181
20231002,03,190
20231002,04,197
20231002,05,204
20231002,06,185
20231002,07,742
20231002,08,286
20231002,09,225
20231002,10,193
20231002,11,197
20231002,12,225
20231002,13,681
20231002,14,369
20231002,15,213
20231002,16,195
20231002,17,195
20231002,18,1085
20231002,19,1046
20231002,20,479
20231002,21,373
20231002,22,334
20231002,23,205
20231003,00,207
20231003,01,190
20231003,02,254
20231003,03,191
20231003,04,187
20231003,05,185
20231003,06,197
20231003,07,178
20231003,08,195
20231003,09,189
20231003,10,171
20231003,11,186
20231003,12,204
20231003,13,625
20231003,14,720
20231003,15,384
20231003,16,921
20231003,17,334
20231003,18,314
20231003,19,363
20231003,20,394
20231003,21,519
20231003,22,569
20231003,23,229
20231004,00,216
20231004,01,213
20231004,02,188
20231004,03,191
20231004,04,185
20231004,05,183
20231004,06,193
20231004,07,252
20231004,08,228
20231004,09,185
20231004,10,226
20231004,11,168
20231004,12,197
20231004,13,1256
20231004,14,488
20231004,15,607
20231004,16,828
20231004,17,217
20231004,18,217
20231004,19,235
20231004,20,496
20231004,21,552
20231004,22,386
20231004,23,196
20231005,00,181
20231005,01,190
20231005,02,179
20231005,03,177
20231005,04,181
20231005,05,175
20231005,06,185
20231005,07,703
20231005,08,645
20231005,09,177
20231005,10,230
20231005,11,192
20231005,12,215
20231005,13,1091
20231005,14,676
20231005,15,601
20231005,16,1017
20231005,17,306
20231005,18,370
20231005,19,985
20231005,20,700
20231005,21,478
20231005,22,416
20231005,23,317
20231006,00,202
20231006,01,202
20231006,02,206
20231006,03,201
20231006,04,194
20231006,05,177
20231006,06,579
20231006,07,511
20231006,08,285
20231006,09,262
20231006,10,188
20231006,11,257
20231006,12,262
20231006,13,1078
20231006,14,389
20231006,15,735
20231006,16,625
20231006,17,375
20231006,18,461
20231006,19,424
20231006,20,623
20231006,21,493
20231006,22,556
20231006,23,1029
20231007,00,308
20231007,01,595
20231007,02,782
20231007,03,182
20231007,04,187
20231007,05,192
20231007,06,264
20231007,07,360
20231007,08,234
20231007,09,168
20231007,10,175
20231007,11,320
20231007,12,247
20231007,13,625
20231007,14,288
20231007,15,439
20231007,16,848
20231007,17,554
20231007,18,421
20231007,19,254
20231007,20,445
20231007,21,375
20231007,22,199
20231007,23,297
20231008,00,249
20231008,01,279
20231008,02,239
20231008,03,222
20231008,04,231
20231008,05,225
20231008,06,202
20231008,07,172
20231008,08,193
20231008,09,617
20231008,10,577
20231008,11,878
20231008,12,775
20231008,13,1280
20231008,14,716
20231008,15,360
20231008,16,296
20231008,17,880
20231008,18,527
20231008,19,615
20231008,20,807
20231008,21,828
20231008,22,567
20231008,23,263
20231009,00,202
20231009,01,179
20231009,02,184
20231009,03,190
20231009,04,189
20231009,05,183
20231009,06,211
20231009,07,245
20231009,08,199
20231009,09,175
20231009,10,172
20231009,11,185
20231009,12,197
20231009,13,572
20231009,14,299
20231009,15,227
20231009,16,207
20231009,17,221
20231009,18,217
20231009,19,658
20231009,20,1904
20231009,21,767
20231009,22,750
20231009,23,413
20231010,00,227
20231010,01,608
20231010,02,589
20231010,03,193
20231010,04,189
20231010,05,182
20231010,06,199
20231010,07,282
20231010,08,251
